,A,B,C,D,E,F
998,24,2,23,14,19,12
999,1,21,12,20,9,23
1000,1,15,9,21,22,23
1001,1,6,5,16,13,11
1002,2,24,4,23,20,19
1003,8,15,18,23,24,20
1004,3,2,8,18,1,4
1005,2,9,13,15,20,1
1006,7,18,8,2,19,22
1007,4,22,15,17,14,8
1008,8,14,20,15,10,13
1009,22,9,23,7,20,12
1010,11,19,13,16,22,8
1011,9,4,16,18,17,7
1012,8,20,12,1,3,16
1013,4,12,21,6,22,5
1014,23,2,19,13,5,11
1015,22,20,11,16,3,1
1016,20,14,13,19,8,17
1017,21,24,16,11,15,19
1018,9,20,24,14,17,21
1019,3,24,11,12,1,8
1020,22,17,5,8,13,1
1021,15,8,11,17,10,20
1022,18,6,2,14,21,10
1023,24,11,10,14,9,7
1024,12,16,13,1,17,23
1025,16,6,10,3,20,13
1026,4,16,21,9,12,15
1027,18,23,6,15,19,20
1028,8,18,1,19,10,4
1029,5,15,13,7,18,6
1030,12,15,21,24,14,19
1031,20,7,8,9,23,13
1032,20,16,4,15,11,14
1033,4,8,23,12,15,17
1034,18,15,4,19,24,21
1035,13,10,20,7,2,3
1036,15,17,9,10,20,1
1037,20,5,21,1,19,7
1038,10,3,18,14,17,15
1039,10,5,9,8,18,17
1040,20,8,24,12,10,19
1041,11,22,3,23,10,9
1042,23,10,18,3,12,2
1043,13,9,20,17,3,2
1044,21,15,22,20,16,11
1045,19,21,3,12,14,20
1046,10,5,22,23,7,13
1047,1,18,5,21,6,19
1048,2,18,20,7,8,21
1049,21,15,19,8,3,18
1050,24,8,14,4,18,22
1051,24,19,17,15,23,18
1052,21,19,24,10,16,12
1053,22,20,21,9,5,11
1054,1,9,2,4,24,18
1055,19,6,1,13,3,5
1056,2,5,3,24,11,15
1057,23,19,6,11,3,10
1058,8,17,13,2,7,24
1059,2,19,15,1,16,23
1060,9,20,18,7,6,4
1061,8,10,18,11,20,22
1062,11,17,13,2,15,1
1063,19,24,10,14,5,9
1064,16,18,12,20,23,6
1065,13,15,19,2,14,17
1066,15,20,8,12,17,6
1067,19,18,12,20,17,22
1068,9,24,21,14,3,5
1069,7,11,17,13,20,9
1070,18,4,11,7,6,17
1071,7,22,17,4,2,16
1072,15,19,4,18,7,21
1073,19,12,18,15,16,13
1074,5,9,7,4,12,15
1075,4,8,23,7,16,13
1076,9,23,6,17,3,22
1077,13,19,22,24,9,3
1078,20,1,12,3,18,11
1079,10,5,21,14,7,2
1080,20,17,5,23,19,16
1081,5,20,24,15,21,22
1082,18,19,14,15,4,12
1083,12,3,19,7,8,4
1084,4,10,20,23,15,21
1085,4,9,23,13,5,24
1086,3,2,18,20,21,16
1087,15,4,6,16,22,23
1088,1,10,22,5,15,20
1089,24,8,12,3,16,18
1090,23,14,6,17,7,20
1091,18,5,1,4,24,20
1092,12,14,22,9,21,24
1093,15,24,1,23,22,2
1094,19,22,7,1,18,17
1095,11,5,10,17,9,4
1096,1,19,23,9,15,20
1097,13,14,17,16,2,3
1098,2,16,7,24,12,11
1099,2,11,20,1,24,3
1100,23,19,9,4,1,6
1101,3,23,4,21,1,11
1102,9,19,14,5,1,23
1103,10,1,11,16,9,2
1104,15,12,18,7,10,19
1105,11,7,5,6,21,17
1106,18,7,17,11,8,9
1107,22,5,2,24,16,3
1108,7,15,21,17,9,13
1109,16,3,17,23,5,7
1110,21,7,24,6,18,20
1111,21,4,3,5,16,19
1112,1,8,5,12,7,22
1113,7,13,14,5,8,10
1114,7,13,2,19,4,9
1115,6,8,19,18,16,22
1116,8,3,7,21,5,11
1117,14,21,5,20,3,24
1118,1,3,5,17,6,23
1119,5,24,10,17,7,23
1120,11,23,8,19,7,18
1121,1,15,23,14,12,3
1122,13,5,14,21,4,1
1123,12,2,23,15,13,19
1124,11,4,1,9,3,5
1125,4,12,16,3,7,17
1126,6,2,20,17,5,7
1127,24,23,14,8,17,1
1128,18,21,4,5,23,24
1129,23,14,8,6,17,16
1130,2,21,20,11,6,22
1131,19,22,13,20,5,2
1132,19,1,18,10,13,14
1133,23,13,20,2,15,18
1134,10,21,11,9,20,24
1135,8,24,7,14,6,3
1136,21,2,9,12,22,24
1137,9,14,16,10,1,20
1138,2,20,8,19,3,14
1139,20,4,8,10,11,21
1140,1,22,12,13,7,11
1141,20,24,18,9,14,19
1142,15,5,9,17,6,24
1143,21,14,18,10,3,15
1144,18,11,4,12,9,22
1145,2,6,17,21,9,19
1146,10,9,1,2,11,6
1147,6,10,16,18,4,5
1148,9,10,24,13,22,15
1149,23,14,8,5,22,19
1150,4,22,11,14,21,9
1151,14,2,20,12,22,16
1152,4,24,1,22,16,21
1153,24,15,9,22,23,2
1154,10,16,19,3,17,20
1155,13,19,23,8,7,17
1156,20,22,1,19,13,24
1157,3,8,10,23,18,19
1158,10,13,17,12,6,7
1159,2,12,22,7,3,13
1160,19,9,15,10,13,5
1161,16,20,8,17,1,22
1162,21,11,8,19,24,12
1163,15,4,18,17,6,11
1164,11,17,4,22,1,5
1165,3,13,16,15,1,24
1166,12,4,24,21,6,18
1167,7,11,21,20,19,12
1168,19,10,12,8,22,11
1169,5,23,1,7,21,12
1170,23,21,10,13,16,7
1171,7,20,9,8,3,18
1172,4,19,16,1,10,5
1173,10,1,18,11,17,13
1174,9,17,4,14,10,22
1175,12,21,18,1,4,7
1176,14,22,12,24,23,19
1177,24,18,8,15,14,13
1178,6,10,4,8,22,16
1179,15,23,22,14,3,20
1180,11,1,16,18,12,2
1181,15,8,3,2,4,14
1182,22,4,20,16,3,11
1183,6,7,9,17,4,2
1184,3,7,6,23,20,22
1185,1,19,20,8,5,10
1186,12,3,16,2,10,6
1187,16,9,20,4,11,24
1188,19,18,8,4,3,11
1189,6,9,8,11,20,5
1190,9,3,7,24,22,15
1191,9,20,21,18,6,8
1192,24,23,16,20,6,2
1193,11,13,12,1,19,6
1194,18,9,3,22,2,17
1195,12,6,21,15,23,4
1196,24,6,7,19,22,3
1197,8,11,15,5,2,24
1198,11,1,21,16,20,9
1199,10,23,20,11,7,15
1200,7,9,10,20,6,8
1201,9,13,23,11,17,16
1202,5,16,12,9,19,17
1203,20,4,2,6,3,21
1204,20,4,8,11,17,23
1205,9,10,7,1,15,18
1206,6,24,21,18,19,7
1207,11,15,5,3,8,16
1208,2,17,9,4,3,13
1209,3,14,11,18,6,4
1210,5,10,18,15,13,20
1211,1,9,5,6,17,24
1212,5,21,12,17,6,18
1213,11,2,7,16,23,15
1214,8,12,18,17,14,13
1215,2,21,12,18,22,14
1216,4,10,20,8,19,6
1217,21,13,14,18,1,22
1218,15,16,3,8,20,14
1219,16,7,4,3,23,15
1220,9,1,6,23,4,13
1221,21,20,14,16,18,13
1222,20,14,3,10,22,4
1223,13,5,8,4,16,6
1224,17,4,12,2,8,20
1225,19,15,12,5,8,17
1226,17,24,13,1,18,21
1227,24,18,12,17,9,1
1228,13,4,8,22,14,7
1229,9,17,24,2,6,5
1230,18,16,13,23,4,9
1231,5,22,14,7,6,8
1232,5,13,1,21,3,22
1233,14,5,12,9,24,3
1234,3,15,8,24,10,5
1235,17,24,20,1,19,22
1236,3,7,5,13,4,8
1237,9,21,11,3,23,14
1238,24,16,7,20,10,18
1239,15,4,3,6,20,23
1240,8,20,17,22,15,21
1241,24,18,16,4,3,22
1242,6,19,17,3,2,23
1243,24,21,20,7,9,10
1244,12,4,8,24,2,1
1245,8,22,14,20,23,5
1246,23,10,19,21,9,24
1247,14,20,3,12,15,13
1248,4,9,3,7,2,15
1249,10,16,20,24,23,22
1250,19,16,1,18,24,20
1251,17,6,1,9,10,4
1252,22,18,12,15,1,17
1253,3,10,5,23,22,4
1254,11,9,24,13,21,16
1255,23,7,4,13,22,18
1256,15,14,8,18,16,2
1257,22,18,4,15,11,23
1258,4,5,12,19,21,6
1259,22,11,3,19,2,7
1260,2,16,19,5,17,8
1261,5,21,2,22,9,4
1262,11,5,1,12,14,22
1263,16,15,2,10,13,5
1264,13,23,10,3,2,20
1265,5,22,16,18,8,6
1266,21,15,8,17,22,6
1267,18,3,11,10,14,19
1268,17,1,9,22,18,5
1269,8,14,10,20,5,2
1270,24,9,20,8,17,19
1271,20,3,21,16,5,7
1272,15,6,2,10,21,20
1273,7,4,24,3,22,5
1274,2,14,15,17,5,16
1275,18,23,19,1,5,17
1276,18,23,8,9,12,20
1277,3,11,19,15,14,5
1278,2,22,20,15,19,7
1279,21,2,23,6,11,10
1280,11,24,8,4,10,18
1281,7,2,16,23,14,21
1282,13,6,2,7,21,19
1283,16,17,3,9,22,6
1284,14,17,5,22,20,6
1285,1,7,2,14,3,20
1286,3,6,21,5,2,14
1287,4,10,1,5,17,22
1288,13,10,14,8,16,17
1289,21,23,22,24,4,10
1290,4,6,14,16,9,2
1291,17,13,14,4,16,21
1292,18,10,20,8,15,7
1293,5,13,24,18,22,10
1294,5,6,23,9,15,4
1295,4,18,14,1,16,22
1296,6,3,22,1,8,2
1297,11,9,15,12,6,20
1298,10,1,16,11,8,22
1299,1,23,22,16,3,10
1300,19,17,21,7,15,14
1301,22,8,2,1,9,4
1302,13,23,5,14,2,17
1303,16,17,9,1,21,22
1304,8,17,9,2,14,7
1305,12,16,2,14,13,9
1306,15,7,19,5,12,11
1307,16,14,10,15,11,2
1308,3,7,10,1,19,9
1309,8,1,16,23,17,12
1310,19,8,11,9,2,14
1311,5,1,21,14,7,6
1312,7,1,5,9,6,15
1313,13,6,24,20,18,4
1314,19,1,5,24,11,7
1315,24,16,19,13,5,14
1316,11,9,1,13,19,15
1317,23,5,7,11,18,17
1318,24,19,20,22,14,21
1319,1,3,9,15,13,12
1320,8,3,10,19,22,4
1321,11,15,7,10,24,21
1322,23,6,12,20,5,21
1323,5,14,15,10,22,21
1324,6,23,4,20,14,2
1325,3,2,11,10,4,13
1326,22,7,5,1,16,21
1327,22,23,24,17,9,2
1328,9,13,8,3,19,24
1329,5,24,12,15,3,13
1330,16,20,12,6,24,10
1331,16,15,4,12,21,23
1332,19,4,9,23,7,24
1333,14,16,21,2,15,10
1334,24,3,1,19,21,17
1335,4,8,23,9,14,11
1336,18,24,15,4,8,23
1337,9,24,18,6,12,13
1338,1,24,5,2,3,12
1339,14,2,11,4,23,7
1340,20,11,8,6,23,17
1341,2,3,21,5,24,10
1342,9,3,4,2,7,13
1343,6,8,14,3,7,5
1344,17,12,4,11,6,24
1345,8,5,4,7,16,14
1346,21,12,11,16,2,3
1347,10,14,6,17,7,13
1348,8,17,21,22,15,11
1349,4,5,22,1,24,14
1350,5,16,12,17,2,8
1351,11,21,2,5,24,8
1352,7,5,20,23,1,17
1353,8,2,15,12,17,9
1354,5,8,21,23,14,19
1355,1,5,10,4,12,21
1356,8,13,15,9,5,19
1357,11,22,4,14,16,10
1358,8,4,2,23,24,21
1359,24,18,9,6,15,3
1360,15,3,23,17,9,18
1361,5,23,11,19,2,7
1362,18,2,23,13,6,22
1363,3,24,5,10,23,8
1364,22,1,14,6,5,23
1365,8,6,5,1,16,12
1366,13,7,19,3,24,12
1367,5,22,13,14,3,18
1368,17,12,13,6,21,19
1369,15,9,16,22,10,1
1370,12,5,13,6,8,24
1371,2,9,23,12,18,15
1372,10,13,1,19,23,3
1373,24,20,2,9,22,7
1374,17,8,23,5,11,16
1375,17,20,24,4,3,16
1376,13,1,22,2,14,10
1377,6,15,4,14,3,13
1378,4,8,3,18,13,20
1379,9,14,11,8,13,2
1380,21,19,8,3,22,5
1381,17,6,3,1,10,16
1382,17,21,4,20,23,2
1383,5,23,17,11,21,16
1384,11,10,20,16,24,22
1385,20,12,16,22,6,4
1386,4,12,2,16,6,3
1387,10,4,2,19,22,9
1388,21,20,8,19,3,5
1389,7,18,19,5,24,4
1390,6,24,21,18,17,16
1391,10,20,11,17,21,12
1392,8,3,17,2,19,21
1393,22,10,12,21,5,3
1394,17,4,1,21,16,18
1395,12,23,22,17,16,9
1396,13,7,11,6,1,16
1397,24,1,9,11,18,8
1398,9,22,15,13,11,20
1399,20,3,24,6,18,1
1400,13,8,3,12,5,18
1401,1,20,2,3,9,4
1402,23,4,12,5,15,14
1403,21,6,7,9,13,12
1404,13,23,14,8,17,15
1405,16,9,4,21,19,22
1406,12,18,16,14,11,5
1407,9,21,1,3,16,17
1408,1,19,7,20,13,2
1409,20,13,8,9,24,15
1410,15,13,12,24,5,19
1411,6,18,24,7,8,20
1412,20,3,21,4,11,8
1413,14,4,23,11,24,2
1414,15,4,19,2,9,13
1415,17,23,1,7,10,11
1416,19,16,14,24,22,20
1417,2,23,12,17,13,20
1418,19,13,8,6,7,22
1419,11,14,6,18,21,10
1420,16,13,11,14,10,9
1421,15,11,16,8,22,24
1422,21,24,11,14,12,13
1423,4,22,17,3,5,12
1424,1,19,23,11,9,18
1425,8,2,16,20,12,19
1426,24,19,8,9,15,3
1427,8,16,23,1,19,24
1428,20,23,22,5,8,10
1429,11,5,3,18,12,23
1430,11,22,17,10,4,2
1431,15,23,2,19,17,5
1432,10,18,24,5,6,4
1433,18,7,5,8,1,4
1434,24,10,1,17,4,22
1435,11,18,9,13,2,21
1436,20,21,24,15,23,11
1437,8,22,19,14,20,18
1438,11,9,8,20,2,12
1439,10,8,22,1,13,24
1440,15,7,1,11,10,5
1441,2,13,24,21,17,4
1442,13,8,10,1,16,20
1443,13,8,9,17,1,11
1444,13,18,24,23,5,10
1445,23,13,15,2,11,22
1446,9,20,18,1,19,17
1447,21,17,19,1,10,20
1448,20,8,24,19,21,7
1449,22,9,5,11,6,3
1450,17,19,14,9,1,13
1451,10,19,22,3,16,23
1452,14,13,24,1,23,18
1453,15,2,8,1,17,4
1454,4,2,15,17,3,11
1455,2,23,7,24,22,13
1456,13,14,1,19,21,12
1457,7,19,21,10,18,5
1458,9,19,10,4,12,7
1459,22,9,1,4,21,3
1460,17,1,4,18,15,10
1461,24,3,15,9,7,19
1462,24,3,5,8,22,7
1463,8,3,6,2,22,7
1464,10,6,16,1,2,4
1465,17,19,15,4,5,6
1466,24,15,18,3,17,14
1467,22,1,8,11,5,17
1468,6,7,23,3,11,20
1469,2,4,10,20,8,14
1470,10,21,12,16,1,13
1471,17,10,12,5,13,19
1472,17,4,8,24,13,5
1473,13,11,14,9,18,8
1474,6,11,13,21,4,5
1475,24,2,1,14,18,11
1476,11,20,5,2,17,23
1477,19,6,23,8,13,9
1478,14,20,1,9,17,15
1479,3,18,20,9,22,23
1480,18,21,4,17,9,19
1481,15,13,14,7,18,24
1482,11,14,10,17,13,22
1483,14,23,20,11,18,12
1484,21,3,20,4,13,10
1485,4,18,20,9,3,16
1486,22,15,16,18,23,17
1487,13,14,19,24,4,16
1488,11,19,24,14,15,13
1489,13,10,8,23,7,15
1490,1,7,3,12,10,11
1491,4,20,9,18,11,14
1492,10,22,4,13,12,21
1493,15,18,20,22,9,12
1494,3,23,12,6,7,19
1495,1,21,18,4,16,23
1496,13,23,24,2,18,14
1497,19,2,8,14,18,12
1498,3,11,5,16,24,18
1499,18,12,8,6,15,19
1500,20,10,12,21,17,4
1501,19,17,7,12,21,5
1502,2,12,11,18,7,22
1503,7,4,16,1,2,13
1504,23,14,11,7,18,17
1505,13,2,12,7,23,24
1506,1,10,18,4,7,12
1507,15,16,24,18,10,12
1508,11,9,4,2,24,15
1509,5,18,14,9,21,23
1510,12,13,6,22,14,7
1511,3,22,21,7,14,8
1512,12,2,17,19,24,11
1513,12,21,24,11,22,2
1514,8,20,13,24,12,10
1515,23,19,11,3,2,10
1516,23,12,15,14,13,18
1517,22,16,1,24,8,10
1518,13,5,20,19,17,4
1519,13,17,20,18,21,5
1520,9,24,14,7,4,18
1521,1,10,8,13,3,20
1522,13,21,12,9,10,8
1523,20,14,6,3,16,18
1524,1,11,18,8,2,9
1525,5,15,4,23,11,19
1526,23,2,8,12,16,4
1527,15,17,8,1,3,22
1528,9,6,10,5,24,23
1529,23,5,4,20,16,12
1530,3,5,12,10,15,9
1531,2,23,5,17,18,12
1532,14,19,18,3,10,5
1533,11,20,17,8,16,14
1534,17,22,4,9,6,15
1535,3,9,5,16,24,6
1536,7,16,5,2,17,15
1537,14,24,17,21,20,15
1538,12,5,8,17,21,3
1539,10,22,21,11,17,24
1540,10,5,4,23,14,3
1541,22,23,6,17,16,24
1542,20,13,4,24,1,17
1543,23,20,18,17,2,24
1544,18,22,1,7,2,12
1545,3,18,15,8,20,19
1546,16,13,14,20,7,15
1547,19,1,6,7,20,12
1548,23,17,7,8,10,3
1549,8,9,10,17,19,16
1550,21,9,22,2,5,24
1551,20,3,9,8,11,23
1552,2,14,6,17,16,10
1553,7,1,22,15,14,4
1554,5,16,15,2,20,13
1555,6,10,18,9,4,15
1556,23,9,19,6,24,3
1557,10,14,5,12,24,18
1558,5,8,10,7,9,13
1559,12,15,1,23,5,11
1560,15,24,22,19,3,1
1561,6,15,17,3,13,24
1562,24,14,21,6,18,7
1563,1,18,20,11,9,14
1564,7,17,15,20,5,18
1565,5,6,23,20,4,10
1566,19,8,2,11,23,21
1567,18,4,24,21,12,23
1568,20,5,21,2,4,3
1569,6,20,17,14,15,22
1570,11,7,1,5,16,20
1571,14,22,10,24,18,21
1572,7,10,3,11,8,22
1573,21,16,12,17,22,15
1574,7,16,13,22,1,10
1575,19,7,6,12,3,20
1576,13,7,17,19,8,5
1577,15,5,14,16,20,3
1578,2,23,24,18,21,16
1579,7,20,2,13,23,11
1580,12,16,21,3,9,7
1581,18,21,16,1,23,24
1582,3,7,8,4,15,2
1583,1,5,11,3,16,15
1584,1,20,9,15,4,8
1585,18,13,22,20,7,19
1586,14,15,11,10,5,3
1587,3,6,24,19,8,23
1588,8,19,18,20,11,13
1589,4,22,17,6,10,9
1590,14,5,13,4,17,3
1591,10,1,13,14,23,22
1592,24,14,8,20,4,1
1593,6,1,17,10,15,18
1594,17,24,4,23,12,2
1595,21,19,24,3,4,13
1596,22,5,17,16,14,4
1597,11,13,6,8,12,20
1598,24,12,11,10,4,6
1599,16,13,11,17,5,18
1600,7,8,24,2,13,5
1601,12,21,17,10,8,22
1602,9,10,22,13,5,20
1603,15,10,14,18,17,19
1604,24,18,10,6,15,5
1605,7,8,23,21,16,15
1606,12,2,11,13,22,24
1607,8,1,19,22,3,6
1608,3,14,2,10,23,16
1609,4,3,15,7,8,12
1610,4,24,1,13,18,16
1611,14,4,15,23,17,20
1612,4,23,19,17,9,18
1613,9,8,5,18,23,7
1614,15,2,7,3,11,8
1615,2,16,1,21,24,10
1616,24,5,16,12,22,11
1617,21,11,3,20,16,14
1618,3,15,13,22,14,24
1619,9,21,11,3,2,14
1620,4,1,16,23,2,21
1621,24,21,2,10,12,11
1622,5,9,24,14,7,3
1623,12,23,22,2,20,24
1624,10,7,22,2,8,4
1625,12,15,9,2,3,10
1626,19,20,21,4,3,7
1627,2,1,22,21,15,18
1628,12,23,7,16,22,24
1629,8,17,20,12,14,5
1630,19,2,12,20,8,5
1631,6,3,20,9,8,23
1632,19,3,14,16,5,13
1633,18,1,17,3,15,4
1634,1,9,4,12,6,2
1635,16,3,6,22,13,5
1636,7,6,21,14,22,17
1637,4,12,3,8,21,18
1638,22,13,10,21,6,18
1639,13,6,1,5,18,12
1640,19,8,14,12,20,16
1641,21,3,20,17,4,19
1642,8,1,17,15,16,6
1643,5,17,4,15,18,19
1644,22,4,19,13,21,9
1645,23,8,20,16,7,1
1646,4,9,21,3,20,8
1647,24,12,7,11,16,22
1648,18,12,21,1,6,13
1649,20,5,24,3,11,10
1650,23,17,13,19,14,1
1651,5,2,13,9,15,8
1652,18,16,1,14,3,23
1653,8,11,17,9,1,13
1654,3,20,21,13,19,7
1655,9,24,3,22,16,12
1656,15,14,16,3,21,4
1657,20,7,11,17,14,2
1658,8,22,19,23,5,13
1659,6,13,7,22,17,15
1660,21,8,16,23,18,6
1661,18,14,21,7,17,12
1662,21,10,15,7,11,14
1663,2,1,18,10,14,20
1664,11,24,9,16,22,7
1665,22,16,24,5,4,15
1666,15,11,21,13,4,16
1667,11,7,13,16,2,23
1668,5,19,14,16,13,12
1669,9,24,16,5,22,10
1670,2,8,14,1,4,9
1671,6,15,3,16,1,9
1672,24,9,11,16,21,5
1673,11,22,6,4,12,21
1674,9,18,24,15,23,5
1675,5,7,6,23,8,16
1676,8,2,22,1,5,3
1677,7,24,11,17,16,19
1678,23,18,12,3,11,22
1679,15,19,12,17,21,9
1680,10,24,15,19,12,16
1681,16,2,21,18,15,11
1682,21,16,24,5,6,12
1683,20,12,18,2,1,19
1684,9,1,12,23,11,17
1685,2,18,9,22,1,3
1686,4,17,19,9,22,12
1687,6,4,23,18,15,8
1688,12,20,9,5,15,16
1689,7,12,1,24,18,19
1690,9,6,10,23,3,7
1691,2,18,12,19,8,14
1692,9,23,1,17,21,18
1693,2,24,12,11,19,5
1694,20,12,4,10,2,14
1695,9,11,23,6,14,4
1696,17,12,18,5,23,4
1697,13,17,1,5,3,10
1698,6,3,24,20,2,11
1699,14,23,6,24,22,11
1700,3,16,9,23,14,2
1701,23,1,8,17,24,21
1702,2,24,6,23,9,12
1703,3,16,17,11,13,6
1704,17,22,23,4,21,10
1705,18,7,17,23,10,5
1706,7,20,2,3,18,6
1707,11,16,3,13,6,15
1708,13,15,8,4,19,9
1709,18,9,1,4,10,13
1710,13,18,6,21,4,10
1711,8,12,24,10,14,7
1712,16,4,17,8,10,14
1713,11,18,7,19,9,8
1714,12,20,6,8,3,16
1715,18,2,3,9,20,5
1716,2,4,18,6,7,11
1717,14,9,17,19,18,1
1718,12,1,5,22,15,17
1719,4,2,6,8,21,17
1720,21,14,13,1,23,17
1721,19,4,22,9,8,12
1722,13,5,1,21,10,15
1723,18,11,12,16,3,1
1724,24,6,21,22,18,8
1725,11,4,3,17,8,9
1726,4,3,23,12,11,18
1727,7,17,21,3,15,16
1728,19,5,11,2,13,22
1729,9,5,23,2,4,18
1730,11,12,5,22,19,4
1731,5,8,7,10,17,2
1732,7,3,16,9,13,17
1733,8,9,11,17,3,6
1734,10,19,24,7,14,6
1735,8,20,23,12,22,17
1736,12,3,15,20,23,6
1737,19,16,9,13,3,14
1738,11,24,9,1,5,19
1739,20,19,8,7,11,18
1740,18,23,20,1,22,16
1741,9,2,4,5,14,1
1742,2,3,23,15,6,21
1743,14,3,9,20,19,4
1744,22,14,8,16,18,7
1745,2,24,10,21,11,1
1746,10,7,21,8,14,1
1747,15,21,20,23,6,8
1748,2,11,7,8,24,18
1749,7,19,3,10,17,20
1750,22,14,13,10,21,16
1751,23,19,20,8,5,21
1752,4,14,10,6,2,3
1753,9,16,2,11,21,6
1754,15,19,10,12,1,21
1755,14,6,19,5,4,1
1756,7,10,22,9,6,8
1757,22,24,4,1,12,9
1758,24,22,9,13,23,19
1759,19,7,22,4,2,16
1760,19,20,16,17,2,24
1761,6,9,14,15,22,11
1762,22,19,7,17,13,2
1763,16,20,10,19,12,1
1764,24,18,19,15,2,13
1765,17,4,10,15,2,1
1766,11,18,8,15,20,12
1767,9,13,5,16,8,6
1768,3,11,17,20,18,23
1769,20,15,23,2,7,1
1770,18,3,22,12,10,8
1771,11,6,2,15,1,20
1772,24,19,13,20,14,21
1773,3,2,12,13,16,1
1774,7,14,4,15,21,11
1775,5,17,8,2,18,16
1776,16,3,22,4,19,2
1777,2,3,17,20,4,8
1778,14,5,9,13,3,19
1779,21,16,8,15,24,4
1780,19,22,8,15,10,2
1781,17,8,18,20,5,7
1782,2,12,1,22,3,24
1783,20,2,16,1,17,21
1784,24,3,18,16,12,22
1785,1,7,6,3,17,19
1786,16,20,24,8,15,10
1787,7,1,21,14,9,2
1788,16,8,21,1,22,17
1789,20,21,10,23,3,4
1790,7,1,11,16,15,17
1791,18,14,5,2,17,12
1792,3,7,15,17,9,20
1793,18,20,14,6,9,2
1794,14,19,17,21,4,18
1795,15,1,7,17,3,10
1796,6,18,9,24,23,22
1797,22,16,19,1,2,18
1798,13,15,4,23,14,21
1799,23,6,12,21,20,2
1800,13,9,2,8,11,18
1801,23,16,17,19,9,12
1802,4,23,8,9,14,17
1803,9,2,13,17,10,22
1804,8,9,3,19,6,7
1805,19,12,15,17,7,3
1806,1,7,17,20,14,2
1807,9,14,2,18,7,8
1808,21,23,1,15,12,6
1809,17,24,6,16,11,13
1810,1,5,2,23,19,22
1811,13,1,16,15,9,2
1812,7,19,8,21,15,16
1813,6,13,4,9,14,16
1814,6,23,3,20,2,4
1815,7,16,19,2,3,15
1816,12,6,7,21,17,18
1817,5,9,15,3,1,7
1818,14,10,24,9,19,11
1819,22,19,10,11,23,2
1820,16,12,18,3,9,5
1821,20,9,24,19,23,12
1822,3,8,6,23,17,24
1823,15,6,13,17,22,4
1824,13,9,10,24,8,7
1825,11,8,6,3,19,20
1826,22,21,17,9,12,14
1827,15,16,10,1,7,12
1828,9,8,17,21,23,20
1829,11,6,18,21,3,24
1830,16,2,3,4,19,8
1831,23,11,1,15,5,24
1832,15,9,19,20,8,10
1833,23,3,7,19,5,15
1834,12,5,21,2,18,19
1835,22,8,7,14,6,15
1836,17,2,23,5,10,13
1837,2,14,23,24,20,6
1838,1,10,13,23,7,18
1839,2,3,20,13,24,5
1840,1,17,10,13,19,12
1841,8,4,11,23,3,24
1842,3,13,6,14,23,17
1843,2,13,16,10,22,23
1844,9,17,3,24,1,14
1845,21,22,4,24,9,1
1846,24,14,10,1,7,3
1847,24,1,13,23,5,6
1848,6,19,24,17,16,1
1849,4,5,14,12,9,6
1850,22,6,3,17,15,10
1851,12,10,3,23,22,17
1852,3,12,13,9,2,14
1853,15,24,20,8,5,7
1854,24,14,10,18,2,22
1855,20,5,21,4,17,12
1856,12,23,1,18,20,3
1857,5,19,2,10,3,12
1858,13,24,14,9,1,22
1859,1,19,14,16,4,24
1860,16,19,14,9,4,17
1861,21,19,17,18,16,14
1862,20,12,5,23,1,15
1863,12,4,15,3,19,24
1864,18,10,4,17,8,23
1865,22,15,12,5,2,23
1866,18,16,24,10,13,5
1867,23,3,19,18,15,9
1868,13,24,4,14,1,2
1869,5,12,18,19,23,10
1870,11,3,7,22,12,14
1871,23,13,17,6,1,2
1872,15,21,4,23,13,16
1873,2,15,4,11,19,18
1874,9,12,1,19,7,3
1875,6,24,15,14,4,23
1876,12,22,11,8,6,13
1877,2,5,11,13,17,16
1878,15,11,4,10,19,13
1879,2,11,24,16,21,4
1880,12,10,4,22,1,15
1881,4,13,2,8,3,11
1882,5,24,13,8,16,4
1883,9,3,5,1,6,21
1884,19,22,21,17,14,13
1885,6,14,13,8,11,15
1886,2,18,9,21,1,4
1887,1,19,3,11,13,22
1888,14,7,19,8,17,13
1889,3,8,1,15,21,13
1890,8,7,12,5,6,15
1891,6,16,18,3,24,2
1892,11,7,2,6,21,20
1893,18,9,4,11,14,19
1894,23,13,9,7,4,12
1895,7,13,23,12,18,3
1896,5,16,13,17,1,8
1897,9,18,4,3,21,1
1898,19,24,4,22,13,10
1899,10,2,17,22,19,24
1900,12,2,8,23,10,20
1901,2,15,16,11,24,9
1902,19,13,18,2,24,20
1903,2,15,14,16,22,3
1904,8,5,18,19,9,20
1905,9,4,13,19,23,14
1906,7,5,3,6,13,2
1907,6,17,13,5,20,1
1908,24,18,6,16,7,12
1909,12,1,15,9,4,13
1910,2,5,21,22,18,23
1911,18,1,23,17,22,6
1912,2,6,14,20,22,19
1913,4,20,1,12,5,3
1914,23,12,15,4,16,11
1915,18,7,17,5,21,6
1916,22,3,13,10,15,12
1917,9,12,6,17,5,18
1918,4,6,16,15,20,14
1919,12,9,3,21,20,5
1920,12,14,13,5,8,19
1921,15,7,3,20,23,24
1922,10,21,18,13,7,5
1923,9,19,15,6,16,11
1924,23,20,24,22,18,12
1925,16,9,18,2,6,5
1926,3,19,13,9,12,21
1927,15,3,22,23,5,21
1928,15,5,17,21,18,14
1929,6,4,19,5,16,22
