,A,B,C,D,E,F,G,H,I,J,K,L
1246,33,27,30,21,35,14,25,15,18,36,32,11
1247,11,13,31,25,3,18,8,5,1,22,2,27
1248,24,15,11,17,9,23,14,8,19,32,12,30
1249,23,35,3,6,15,5,24,9,7,4,14,17
1250,3,2,24,33,7,15,11,30,31,25,23,17
1251,11,12,25,2,29,1,18,26,28,16,22,9
1252,4,15,3,10,12,2,34,9,8,1,26,23
1253,23,29,21,35,7,16,33,8,10,25,27,22
1254,22,5,8,26,17,1,14,10,4,9,20,35
1255,36,28,29,17,26,14,2,18,9,20,11,35
1256,20,23,16,24,9,7,12,15,21,36,17,31
1257,13,3,16,4,20,27,6,29,33,30,8,31
1258,13,34,20,11,16,10,12,24,2,32,15,22
1259,17,35,13,23,29,2,11,18,10,21,27,30
1260,24,33,7,27,11,36,22,29,1,2,18,17
1261,5,32,31,28,33,1,6,27,2,24,36,13
1262,24,12,19,30,27,22,33,3,31,34,23,16
1263,7,6,30,23,10,29,11,31,12,5,3,1
1264,31,15,29,25,1,21,11,6,19,3,12,24
1265,30,29,6,12,14,35,22,28,9,18,19,17
1266,29,13,26,34,23,15,30,18,17,5,16,11
1267,11,31,34,26,22,9,17,1,5,23,36,35
1268,31,9,2,6,29,26,25,30,20,36,32,13
1269,25,12,10,20,3,6,28,14,35,9,26,30
1270,32,34,22,26,14,3,33,2,28,25,27,6
1271,11,2,10,33,14,21,31,8,35,24,5,29
1272,28,12,17,13,6,16,33,7,21,31,1,30
1273,30,16,8,22,21,24,10,27,14,3,5,12
1274,32,17,6,23,4,13,18,19,25,10,16,33
1275,27,31,36,16,33,12,8,11,24,21,17,20
1276,26,16,15,31,20,5,28,35,9,27,6,36
1277,34,22,5,6,18,2,31,35,14,20,24,1
1278,7,10,19,18,26,36,3,20,33,1,17,34
1279,35,4,19,13,18,24,9,21,31,2,7,17
1280,10,35,36,18,11,7,31,1,4,30,34,9
1281,29,21,1,4,35,16,27,30,28,6,13,7
1282,5,28,7,35,3,1,22,6,13,36,14,17
1283,5,29,20,11,2,26,10,18,30,36,12,6
1284,16,22,31,2,13,15,3,25,18,33,8,10
1285,24,17,25,36,35,22,19,30,27,9,32,29
1286,26,22,19,14,2,27,12,23,7,31,9,24
1287,16,14,22,7,27,19,13,23,34,28,5,17
1288,35,30,20,13,31,8,25,4,14,33,36,5
1289,32,4,14,12,26,8,3,1,27,36,35,23
1290,18,25,28,31,34,16,35,23,11,30,36,13
1291,13,9,24,19,6,16,28,2,22,29,20,30
1292,16,24,17,6,3,11,8,13,32,10,23,19
1293,29,23,33,22,25,17,9,10,34,14,27,21
1294,15,35,20,12,26,13,19,36,28,7,32,23
1295,34,8,14,31,4,2,19,28,32,1,25,24
1296,14,1,4,36,2,12,8,32,18,3,19,35
1297,24,25,21,15,10,11,8,1,18,14,23,26
1298,20,14,30,36,5,21,19,11,35,33,13,3
1299,2,18,1,4,29,36,9,14,13,23,7,26
1300,13,7,12,33,17,26,21,32,25,29,10,19
1301,32,9,5,15,2,27,36,17,20,29,8,6
1302,5,27,2,19,6,9,21,22,12,24,4,16
1303,27,19,17,1,6,35,31,34,25,26,11,22
1304,35,22,28,11,6,12,29,31,34,25,7,23
1305,27,15,24,2,34,25,31,19,14,8,18,13
1306,24,36,35,8,17,30,1,26,29,34,31,11
1307,12,7,5,6,35,2,18,25,13,10,32,16
1308,15,5,14,3,1,17,34,2,30,19,33,36
1309,29,23,33,35,30,14,18,27,8,19,17,13
1310,24,16,31,2,28,17,11,29,13,1,26,3
1311,24,31,21,2,28,17,12,30,16,1,20,34
1312,17,36,35,11,15,21,8,23,29,27,31,26
1313,6,35,2,4,14,19,28,26,23,24,3,36
1314,24,1,15,19,32,35,31,27,33,21,22,2
1315,29,28,4,13,6,36,7,24,33,15,31,23
1316,35,18,30,10,32,36,1,8,17,12,20,33
1317,10,28,24,1,13,14,22,23,30,27,34,2
1318,24,20,8,6,7,12,23,26,32,17,34,13
1319,19,29,22,13,33,7,31,35,36,27,21,32
1320,9,29,35,32,14,34,36,18,23,22,15,13
1321,28,5,34,1,12,8,22,32,11,25,4,19
1322,15,1,33,14,34,5,16,19,28,18,9,23
1323,27,21,10,29,13,7,3,11,20,17,12,24
1324,29,28,10,11,22,16,1,18,26,25,5,19
1325,25,18,26,9,35,31,7,27,29,24,13,20
1326,24,26,16,27,23,11,3,2,12,15,9,21
1327,11,32,21,31,9,17,16,6,29,1,5,7
1328,23,21,20,33,18,25,2,29,11,36,10,4
1329,14,18,10,19,20,28,35,24,29,6,23,5
1330,28,10,12,11,16,31,13,19,35,5,24,34
1331,13,5,10,20,11,32,33,16,34,31,23,7
1332,35,7,24,6,33,29,36,12,16,20,4,18
1333,28,22,7,21,27,13,16,15,35,14,18,29
1334,31,14,10,22,12,3,27,6,13,33,5,18
1335,14,1,15,17,22,25,12,20,27,8,34,36
1336,3,32,35,36,13,29,17,20,22,26,19,7
1337,28,1,11,10,34,8,18,7,31,24,5,33
1338,19,32,25,28,6,22,17,2,33,24,30,23
1339,32,34,17,35,16,13,6,23,21,19,18,28
1340,24,11,27,9,13,20,21,32,18,36,7,31
1341,7,23,30,2,36,31,5,18,12,16,35,1
1342,35,21,33,10,22,26,4,18,8,30,27,15
1343,18,8,16,15,28,20,29,4,12,32,17,27
1344,4,33,15,9,36,29,7,2,35,26,22,20
1345,25,4,20,32,36,10,33,28,17,35,12,9
1346,33,2,14,17,18,11,28,32,19,6,7,30
1347,24,21,4,29,1,3,34,30,31,2,15,27
1348,13,10,9,15,5,16,24,29,28,4,23,2
1349,9,11,3,36,21,10,2,33,4,35,25,15
1350,23,20,14,19,28,1,8,3,33,17,11,30
1351,22,17,28,18,27,5,13,15,35,8,29,3
1352,36,20,25,2,22,1,33,9,28,34,29,24
1353,26,4,8,12,9,24,31,18,19,27,25,20
1354,20,23,24,8,31,21,5,10,14,28,33,15
1355,35,22,8,30,26,6,7,31,13,19,2,23
1356,31,29,32,10,11,23,19,26,36,17,27,3
1357,3,10,6,18,21,7,1,23,14,4,27,12
1358,24,8,34,2,30,26,18,28,9,36,11,31
1359,23,1,27,18,24,12,31,5,21,35,8,7
1360,2,36,20,14,15,1,8,31,17,21,6,4
1361,25,29,12,14,5,7,4,33,32,35,16,20
1362,22,20,23,13,14,11,1,8,30,21,33,12
1363,33,36,3,11,31,18,27,1,28,7,14,24
1364,5,25,7,15,36,6,30,12,11,31,4,14
1365,27,23,1,13,20,14,5,25,4,11,28,7
1366,36,19,5,33,10,4,21,12,20,6,29,22
1367,29,31,2,16,10,4,18,28,19,14,6,22
1368,7,27,13,20,1,36,14,33,25,16,17,19
1369,28,16,22,27,10,31,5,9,12,7,15,1
1370,15,10,29,31,16,20,11,12,26,34,2,35
1371,29,15,21,18,2,33,22,9,4,26,8,1
1372,16,19,9,8,18,2,22,11,34,29,30,20
1373,8,15,33,29,12,20,3,17,4,11,31,26
1374,12,33,1,6,19,24,8,3,28,18,29,26
1375,17,11,26,5,4,28,24,31,2,8,25,34
1376,31,16,11,21,15,20,5,30,18,12,22,25
1377,8,36,7,29,26,33,9,19,20,10,21,6
1378,18,13,9,21,8,30,23,20,5,14,29,11
1379,2,6,8,33,7,5,10,18,24,20,35,11
1380,24,29,12,27,4,25,8,9,5,19,6,1
1381,11,35,20,19,3,34,25,1,10,33,12,18
1382,29,34,33,6,16,7,17,2,3,11,13,30
1383,14,26,18,23,12,33,35,6,11,19,7,15
1384,24,15,20,18,17,25,10,6,33,29,22,26
1385,23,29,18,25,36,8,17,20,9,33,15,34
1386,19,13,35,1,30,12,21,27,7,17,24,2
1387,22,4,5,10,31,1,12,21,35,33,30,16
1388,19,6,24,1,14,32,21,31,4,3,9,16
1389,31,18,5,19,9,16,24,29,3,28,14,27
1390,28,6,11,4,32,5,3,24,1,12,22,34
1391,23,25,1,5,24,31,35,15,6,14,18,36
1392,13,12,36,33,6,18,23,4,30,26,25,16
1393,20,26,33,30,28,21,18,12,4,5,8,1
1394,10,26,34,8,12,14,30,6,28,4,31,5
1395,3,11,8,20,9,18,16,35,23,6,29,27
1396,20,18,17,32,33,16,5,19,27,22,4,15
1397,33,5,27,14,4,8,20,6,17,10,30,32
1398,26,18,20,32,17,11,31,3,13,14,6,34
1399,23,20,34,10,24,22,1,4,11,35,18,25
1400,16,26,2,17,11,1,24,32,15,34,13,3
1401,3,35,14,1,7,23,9,34,17,25,22,24
1402,8,29,9,20,10,4,28,19,12,33,6,3
1403,35,16,8,10,36,4,29,13,26,11,30,20
1404,20,23,27,32,21,6,25,14,28,35,17,8
1405,30,23,25,22,20,17,32,29,15,10,21,4
1406,10,18,32,19,20,7,28,31,35,13,1,2
1407,4,33,16,22,13,1,30,29,18,31,8,20
1408,12,23,11,18,32,34,5,3,22,28,7,9
1409,13,24,32,28,5,21,20,4,2,7,29,27
1410,6,36,14,22,2,7,31,20,23,24,3,28
1411,28,5,13,26,8,24,3,9,2,23,29,19
1412,33,29,13,34,15,6,21,23,26,17,11,12
1413,10,28,34,26,29,9,33,7,23,11,4,15
1414,10,21,34,18,8,33,35,11,2,30,16,19
1415,16,18,22,33,21,3,12,1,26,35,31,4
1416,35,30,2,16,22,9,15,19,34,36,25,13
1417,22,12,34,28,32,8,36,21,6,31,29,33
1418,11,24,23,33,7,1,34,31,4,35,16,28
1419,22,24,19,25,34,9,23,15,6,14,8,26
1420,3,24,4,28,6,27,22,5,14,32,26,17
1421,29,1,10,35,15,6,33,16,31,8,27,28
1422,8,18,24,29,26,20,23,13,17,9,12,31
1423,13,23,2,7,18,32,27,34,25,22,12,21
1424,27,5,24,31,33,2,22,21,18,28,12,14
1425,30,15,29,34,36,23,31,9,8,5,2,11
1426,35,6,18,9,36,4,17,14,16,31,8,32
1427,29,2,24,26,14,7,3,25,27,12,36,28
1428,3,2,28,7,36,29,30,32,33,31,8,14
1429,12,19,17,28,23,3,30,14,24,36,32,8
1430,5,23,3,1,28,17,36,32,14,31,34,8
1431,27,28,15,17,35,16,1,31,10,19,33,13
1432,36,16,8,10,9,13,7,35,32,3,19,30
1433,31,25,32,13,33,7,29,14,34,35,12,4
1434,6,26,1,28,8,13,19,4,17,36,12,16
1435,26,32,3,10,34,17,22,28,16,15,7,14
1436,26,10,15,7,22,28,3,8,1,23,18,14
1437,24,10,12,25,1,11,26,4,33,27,3,17
1438,6,12,33,30,2,29,1,32,36,9,23,8
1439,18,36,22,21,20,17,16,11,10,31,1,25
1440,8,32,24,21,30,17,10,5,19,27,13,29
1441,25,24,26,11,35,36,28,31,1,7,6,5
1442,23,14,25,10,26,31,12,29,21,17,6,5
1443,8,16,27,26,34,4,2,9,25,1,20,7
1444,13,10,12,32,25,27,15,19,4,14,8,22
1445,7,17,31,34,28,8,14,23,18,29,24,12
1446,26,4,24,18,12,13,6,7,30,25,35,20
1447,35,8,1,20,28,3,5,10,34,22,15,30
1448,36,32,8,6,22,11,3,23,15,10,1,20
1449,33,30,36,24,32,29,27,19,12,20,18,15
1450,33,26,16,13,5,17,31,10,29,20,12,11
1451,35,36,27,24,6,19,33,10,32,34,20,26
1452,28,25,26,23,6,36,9,33,20,1,34,7
1453,16,1,28,35,26,25,3,17,32,23,13,12
1454,10,17,31,18,33,15,13,5,20,30,6,25
1455,8,12,1,36,7,25,17,29,26,30,28,13
1456,1,17,15,21,13,14,33,4,7,23,18,20
1457,34,9,22,1,33,35,17,5,10,32,13,27
1458,9,1,4,11,21,20,35,8,33,16,7,14
1459,10,36,3,4,20,12,18,34,15,19,6,24
1460,34,27,24,2,29,36,26,4,9,22,5,21
1461,28,35,27,8,12,18,3,7,6,16,14,5
1462,7,36,26,3,22,14,19,23,30,11,28,12
1463,35,9,5,34,15,14,21,23,2,24,25,32
1464,24,16,35,27,9,8,17,20,10,7,1,2
1465,18,10,34,1,27,23,9,31,17,16,5,3
1466,8,9,33,11,10,22,1,25,34,23,30,6
1467,2,6,29,1,19,25,32,20,26,10,22,21
1468,3,12,28,15,9,23,14,27,21,25,34,11
1469,8,36,32,11,19,20,34,9,13,1,33,6
1470,16,32,20,2,36,13,1,14,8,22,7,10
1471,27,4,14,18,36,17,8,33,34,6,22,12
1472,13,11,22,6,17,33,12,5,27,4,19,30
1473,22,29,4,5,23,35,13,2,20,27,15,31
1474,30,16,3,7,34,36,22,17,6,19,28,1
1475,26,11,18,20,28,17,24,5,25,33,6,4
1476,24,9,26,25,22,2,6,8,21,29,30,23
1477,26,33,11,35,10,23,8,36,32,25,1,20
1478,29,26,9,22,30,2,28,35,16,3,33,24
1479,24,33,22,30,9,16,17,18,12,32,13,34
1480,4,11,20,10,7,36,31,32,33,23,24,26
1481,23,9,21,32,5,31,7,4,26,16,33,34
1482,29,13,26,4,23,36,28,27,2,16,6,30
1483,18,21,1,6,2,25,19,3,32,30,23,26
1484,30,25,34,15,27,11,35,28,18,9,36,14
1485,7,17,11,34,36,5,15,18,3,4,8,2
1486,5,31,16,25,13,1,27,34,7,2,21,28
1487,7,10,2,3,19,16,14,33,12,29,34,31
1488,31,7,30,27,15,3,13,12,25,23,8,10
1489,2,7,26,10,1,31,13,23,17,28,3,18
1490,1,17,21,25,30,36,22,2,11,18,28,26
1491,14,31,1,33,22,32,3,23,5,28,21,13
1492,14,33,18,35,4,9,6,16,5,34,1,17
1493,15,28,29,24,23,6,9,7,10,35,26,17
1494,11,27,19,7,2,30,8,35,9,16,32,31
1495,17,10,24,16,25,1,26,32,33,6,9,15
1496,4,1,17,30,10,20,7,5,32,16,34,28
1497,2,23,10,5,27,30,35,18,1,29,6,19
1498,9,5,3,23,31,19,11,32,28,36,4,27
1499,22,16,12,29,9,26,32,10,2,6,35,3
1500,3,24,11,6,1,30,35,19,15,34,2,10
1501,3,23,34,2,22,27,14,6,29,11,16,17
1502,23,11,13,21,7,19,26,28,2,5,17,31
1503,5,35,27,16,18,28,25,17,22,30,20,34
1504,5,32,26,13,8,23,31,1,28,21,22,34
1505,31,30,29,17,18,36,27,34,12,23,19,4
1506,6,25,10,2,11,35,17,8,34,26,3,16
1507,29,2,15,18,25,5,31,16,14,7,36,4
1508,29,25,22,1,9,5,10,2,13,14,32,6
1509,12,5,16,11,29,30,21,8,1,18,32,13
1510,12,31,33,27,7,9,10,28,32,2,11,25
1511,25,6,19,13,27,20,9,17,16,5,34,1
1512,26,21,34,28,20,7,1,36,32,13,15,9
1513,31,1,36,14,16,13,15,5,2,26,30,29
1514,1,20,9,13,36,27,30,15,22,6,33,12
1515,36,23,8,12,1,20,10,11,29,15,35,26
1516,36,4,18,32,34,21,29,10,27,30,2,33
1517,35,29,4,27,10,12,30,17,34,16,2,7
1518,35,8,34,3,14,15,25,36,29,12,21,19
1519,13,26,28,14,21,33,32,16,12,34,25,3
1520,31,12,15,3,30,35,20,27,2,11,16,22
1521,30,33,20,5,21,27,25,22,35,14,17,9
1522,31,30,6,35,12,5,33,4,24,32,36,21
1523,25,34,16,31,4,24,20,9,17,12,35,5
1524,35,24,36,28,25,2,14,27,7,12,6,1
1525,3,29,34,17,19,6,32,13,10,25,33,20
1526,13,2,11,15,1,36,30,23,25,17,35,27
1527,27,14,36,11,7,2,26,19,15,10,35,21
1528,12,22,14,33,1,19,32,6,5,17,4,26
1529,36,5,24,30,3,18,2,8,10,20,23,15
1530,15,14,27,10,11,35,2,1,36,25,20,3
1531,3,6,34,32,15,25,24,4,12,23,14,18
1532,33,2,20,31,23,7,22,18,15,36,19,8
1533,12,19,11,3,35,4,29,8,6,32,1,33
1534,35,22,32,4,25,11,8,36,1,27,33,15
1535,28,3,13,8,14,32,33,30,5,26,35,12
1536,9,20,27,11,35,22,32,7,28,5,19,21
1537,3,26,33,29,5,4,11,8,17,15,35,2
1538,25,3,14,16,29,20,17,12,26,32,13,22
1539,29,34,21,35,14,1,30,12,33,36,32,6
1540,22,30,4,21,15,6,27,24,20,34,31,28
1541,1,11,36,27,6,20,35,16,14,21,18,3
1542,23,8,35,25,13,15,7,11,4,12,22,10
1543,4,17,25,36,29,13,5,20,30,9,22,35
1544,5,24,32,14,26,17,27,12,19,20,8,6
1545,8,23,26,7,24,34,25,22,11,28,29,3
1546,2,27,21,6,1,22,31,23,4,14,18,10
1547,34,16,28,24,3,11,17,30,26,7,25,4
1548,8,24,27,11,33,30,34,31,7,21,5,22
1549,34,11,14,32,31,23,22,24,35,4,12,2
1550,17,35,15,6,5,33,22,3,28,12,14,36
1551,16,14,28,19,15,4,5,31,18,26,8,10
1552,9,18,22,6,14,4,31,15,27,29,16,13
1553,6,13,27,32,21,29,16,35,25,14,30,15
1554,36,30,21,13,5,9,33,6,16,14,29,19
1555,15,22,12,21,6,2,10,36,14,33,3,8
1556,21,19,3,32,30,22,11,26,15,10,23,13
1557,27,24,19,32,11,34,23,29,10,21,28,15
1558,31,36,13,15,33,7,2,25,18,21,10,29
1559,20,13,29,11,31,27,21,3,10,14,1,15
1560,16,17,35,25,13,30,26,6,5,21,7,3
1561,2,27,25,18,24,12,1,5,36,32,34,8
1562,24,5,17,1,28,33,8,34,3,22,20,2
1563,36,27,7,8,10,22,17,34,2,20,19,28
1564,7,29,26,11,33,17,30,13,6,16,22,2
1565,11,8,33,7,18,34,24,28,17,14,25,29
1566,34,19,13,10,12,18,22,36,2,8,27,4
1567,22,36,13,26,11,9,23,25,35,34,5,32
1568,12,33,13,9,34,31,1,4,2,7,15,23
1569,9,17,1,6,31,28,12,18,10,22,30,32
1570,31,4,12,36,6,28,34,20,1,9,16,14
1571,25,2,4,9,33,27,31,26,13,16,21,10
1572,32,19,23,29,13,31,8,7,9,18,22,26
1573,29,28,27,16,1,35,20,25,15,9,4,10
1574,21,4,13,8,30,1,9,11,36,32,16,2
1575,13,28,20,26,16,4,9,1,3,33,10,11
1576,18,15,16,9,1,31,17,7,22,21,11,10
1577,7,29,11,34,30,1,13,23,8,28,24,26
1578,19,22,29,6,36,5,8,16,27,11,15,14
1579,19,12,13,23,3,20,10,9,25,7,6,14
1580,14,12,9,35,18,20,5,16,3,34,1,30
1581,22,4,29,30,15,6,33,23,27,25,2,32
1582,26,11,6,31,22,2,36,1,30,25,32,34
1583,7,24,20,22,8,28,33,23,35,11,34,19
1584,9,4,25,31,18,6,34,21,15,2,14,30
1585,33,19,26,34,7,18,28,9,5,16,8,32
1586,28,10,4,5,27,33,32,24,2,15,6,23
1587,1,21,12,34,25,23,22,5,13,36,33,28
1588,36,18,8,3,15,20,6,10,4,21,31,2
1589,26,29,24,23,1,7,18,28,4,31,15,13
1590,12,5,29,30,27,32,3,36,8,21,13,14
1591,2,1,19,6,22,27,21,33,16,32,28,14
1592,25,30,6,3,9,33,15,35,32,18,12,16
1593,9,5,3,7,11,27,13,20,10,8,32,1
1594,1,35,25,8,7,26,6,27,31,15,4,30
1595,27,25,30,26,2,24,10,29,5,20,33,18
1596,30,21,1,4,36,18,10,26,35,8,27,15
1597,21,11,13,9,26,31,16,34,30,7,32,33
1598,6,4,32,14,8,33,29,34,28,25,12,1
1599,18,26,28,7,29,21,6,23,22,14,32,36
1600,11,8,26,30,22,31,19,34,33,17,15,14
1601,29,19,33,31,2,25,12,6,24,36,28,13
1602,25,29,18,34,31,17,23,14,36,1,30,33
1603,35,33,24,26,22,3,9,10,36,1,21,17
1604,7,17,26,8,33,30,36,5,18,21,12,20
1605,29,26,12,31,27,9,7,13,18,6,17,2
1606,3,9,2,17,15,11,36,8,20,6,10,25
1607,18,36,22,28,3,2,8,10,27,23,30,15
1608,14,26,15,2,24,3,8,31,16,20,35,19
1609,6,7,12,18,14,34,1,35,36,32,27,25
1610,21,7,5,23,28,2,17,14,30,18,29,11
1611,34,19,35,10,5,33,12,30,22,17,15,32
1612,17,25,26,31,15,20,35,2,18,29,33,11
1613,7,4,12,24,26,3,23,29,21,13,10,36
1614,20,13,34,30,33,36,9,16,26,2,15,11
1615,6,12,2,10,26,31,35,15,19,13,27,33
1616,31,32,27,36,2,1,7,5,11,10,29,15
1617,33,34,13,8,16,22,30,17,14,4,35,32
1618,3,15,14,10,13,5,36,21,30,27,9,1
1619,10,31,13,28,16,12,5,20,2,32,29,34
1620,20,11,19,36,35,30,32,2,24,23,18,9
1621,22,5,26,29,6,8,10,36,35,2,21,28
1622,10,14,31,5,4,25,22,29,16,1,28,32
1623,28,4,25,23,7,10,3,19,31,34,26,20
1624,22,24,19,8,11,1,25,2,33,21,5,32
1625,6,20,2,5,4,30,23,36,24,14,13,28
1626,28,35,33,12,18,34,23,19,11,16,31,27
1627,15,20,8,30,5,16,2,18,28,3,21,19
1628,34,11,31,23,36,29,1,35,20,15,9,12
1629,15,13,25,19,22,26,31,1,24,20,6,36
1630,16,1,6,19,14,31,12,9,24,23,3,13
1631,12,27,32,6,5,14,35,30,16,18,24,1
1632,9,34,11,31,23,2,17,3,8,1,27,4
1633,27,14,12,20,22,35,8,7,9,28,26,16
1634,24,17,1,29,8,7,10,2,9,13,12,5
1635,1,5,34,15,26,32,17,31,6,3,35,23
1636,26,34,20,32,21,10,35,16,33,2,13,8
1637,19,34,9,25,7,21,6,31,14,8,15,32
1638,20,4,16,23,9,31,15,13,33,5,12,27
1639,21,19,30,36,6,1,16,24,3,12,27,34
1640,1,26,29,22,7,33,2,34,21,18,32,16
1641,32,4,24,31,2,5,27,7,11,8,1,20
1642,34,15,29,1,12,2,36,25,32,24,18,28
1643,19,22,12,32,27,3,16,26,14,33,25,8
1644,16,14,22,15,10,18,13,23,32,27,2,3
1645,23,13,6,9,22,19,26,8,27,32,7,20
1646,11,22,2,31,4,14,21,5,1,28,19,30
1647,18,17,5,22,21,27,23,11,33,16,20,31
1648,6,14,3,12,22,7,21,32,8,28,2,16
1649,27,31,16,30,17,36,18,15,25,24,1,29
1650,8,17,12,33,34,14,6,2,19,27,36,25
1651,5,24,27,3,9,17,1,22,25,29,13,21
1652,10,22,16,29,4,27,25,20,26,35,33,34
1653,33,31,29,8,14,25,19,20,21,28,11,1
1654,36,21,5,1,25,6,14,3,15,17,28,29
1655,20,26,14,21,3,24,19,35,10,22,16,27
1656,33,29,14,2,31,19,8,23,20,21,1,24
1657,17,21,32,29,20,11,35,9,18,12,22,14
1658,3,34,25,11,26,33,22,16,24,15,13,9
1659,29,9,26,23,27,14,17,24,5,8,19,4
1660,24,18,31,17,8,2,4,19,36,9,16,23
1661,8,1,26,5,12,6,10,11,2,16,27,29
1662,22,16,18,1,27,35,11,7,2,14,12,29
1663,32,21,22,3,18,19,33,15,5,9,34,36
1664,32,31,35,6,12,36,29,2,18,26,8,21
1665,28,29,35,34,30,3,9,33,6,1,13,16
1666,17,31,35,11,19,22,25,7,12,24,14,10
1667,28,25,24,11,27,8,35,13,19,33,2,6
1668,10,12,1,5,9,11,13,17,23,14,8,28
1669,18,34,15,28,35,20,25,10,19,2,3,30
1670,4,26,32,36,3,16,23,12,10,13,17,7
1671,27,20,29,16,21,2,8,33,18,12,23,22
1672,1,13,11,26,16,12,2,15,14,17,27,20
1673,18,22,28,11,33,17,16,1,19,10,9,7
1674,9,29,3,17,26,22,1,32,34,2,20,8
1675,7,4,9,12,25,2,31,3,1,30,10,36
1676,3,31,25,13,36,35,7,21,32,16,28,24
1677,15,17,23,34,14,29,9,24,18,5,25,8
1678,34,29,27,6,1,19,8,23,25,18,28,7
1679,6,32,10,11,3,4,24,14,36,20,17,7
1680,24,32,8,3,5,19,34,25,7,23,36,17
1681,33,6,17,32,3,30,22,13,25,21,8,26
1682,26,15,34,3,30,2,22,28,17,6,23,31
1683,12,26,29,3,22,32,34,27,19,17,28,36
1684,27,11,5,32,3,26,35,6,16,22,18,36
1685,25,36,16,31,1,22,8,13,11,30,35,33
1686,5,4,24,11,22,12,13,32,25,17,15,6
1687,12,27,23,3,1,24,22,26,32,15,17,11
1688,5,16,4,21,9,30,29,1,24,19,10,27
1689,24,36,6,12,29,21,34,15,13,3,10,23
1690,34,19,22,23,27,15,10,33,12,2,29,36
1691,29,14,33,21,5,9,11,23,32,1,20,18
1692,31,11,35,16,25,27,32,23,19,26,10,17
1693,18,31,6,34,21,14,22,32,26,36,29,9
1694,19,16,33,18,31,8,26,15,22,9,36,5
1695,23,2,16,12,24,10,19,9,6,14,25,35
1696,33,31,5,14,9,30,12,1,32,20,36,28
1697,6,32,18,26,35,22,23,17,30,5,13,20
1698,20,11,25,15,33,3,8,24,14,31,26,18
1699,15,20,12,1,28,5,29,16,30,25,3,21
1700,8,2,23,18,6,27,7,3,28,25,13,34
1701,1,25,23,21,20,19,26,14,17,30,36,5
1702,15,8,16,36,20,34,7,5,26,17,19,6
1703,28,15,32,5,10,29,34,16,26,30,20,14
1704,9,14,10,34,5,21,3,16,6,33,31,24
1705,25,35,15,30,34,6,2,12,16,3,11,17
1706,32,14,15,3,16,31,29,30,28,21,26,18
1707,8,1,32,2,35,29,9,19,13,30,18,22
1708,1,27,9,18,5,29,21,7,32,34,15,26
1709,19,34,17,10,13,28,26,6,12,23,16,36
1710,23,30,36,32,10,21,5,20,12,9,1,18
1711,33,25,7,36,18,11,5,28,22,6,17,16
1712,11,28,31,26,2,32,7,6,3,19,15,9
1713,29,31,11,14,21,10,22,16,35,15,34,25
1714,11,3,17,12,8,21,1,6,32,25,28,4
1715,32,27,13,28,29,16,20,11,6,23,26,1
1716,12,1,6,30,24,9,29,19,15,31,36,33
1717,32,23,35,33,10,17,5,14,2,31,27,21
1718,35,1,8,20,10,23,27,28,17,7,11,4
1719,11,32,21,3,20,36,6,24,13,5,29,18
1720,21,10,19,8,26,17,36,9,31,28,6,34
1721,33,7,21,4,8,31,16,18,14,29,12,24
1722,20,31,33,14,11,12,15,35,30,19,25,7
1723,35,31,4,29,5,10,3,7,9,23,1,14
1724,12,14,15,11,2,23,32,13,16,18,26,6
1725,2,32,8,24,10,29,30,21,1,19,13,25
1726,9,18,12,26,31,6,2,10,34,28,20,35
1727,24,35,25,34,17,15,4,3,11,12,8,10
1728,20,2,14,36,35,12,33,1,5,15,26,4
1729,32,9,16,8,4,20,28,10,13,1,18,14
1730,12,18,19,29,7,34,11,27,24,20,16,8
1731,33,2,24,1,10,20,28,4,15,5,22,21
1732,22,21,34,1,13,9,15,6,19,25,20,30
1733,32,1,19,30,16,14,27,17,24,23,28,25
1734,17,3,20,14,1,19,25,27,26,15,28,7
1735,10,32,15,29,35,5,31,18,27,21,36,25
1736,26,32,16,30,23,19,25,35,9,20,17,8
1737,30,10,23,25,35,5,16,9,12,6,13,11
1738,2,10,26,30,4,1,3,11,20,7,13,33
1739,12,27,14,35,13,9,3,30,7,23,20,33
1740,9,23,11,10,35,3,28,31,8,4,26,13
1741,15,23,31,16,3,12,22,11,33,13,8,20
1742,33,35,34,14,13,6,2,12,4,8,31,3
1743,23,20,4,9,13,34,29,28,5,2,11,14
1744,17,13,30,12,24,5,26,22,25,8,15,11
1745,4,36,10,1,33,25,26,14,31,27,11,2
1746,8,17,25,19,13,31,16,32,18,30,15,36
1747,23,13,10,12,26,11,2,15,21,32,25,17
1748,30,35,31,22,27,10,13,20,2,23,3,14
1749,15,30,12,32,25,16,34,11,22,35,31,33
1750,13,6,30,23,29,10,32,17,31,15,9,16
1751,23,1,28,14,13,25,18,33,26,22,3,4
1752,27,10,26,31,9,5,8,18,14,13,34,2
1753,11,32,26,21,10,4,25,1,14,5,19,13
1754,36,4,1,3,20,2,19,22,8,31,35,11
1755,7,14,28,13,32,4,25,15,34,19,30,17
1756,13,35,15,21,17,6,20,8,36,34,25,5
1757,35,5,30,15,7,10,22,3,9,8,18,20
1758,36,26,19,35,18,3,33,29,27,4,14,1
1759,16,19,14,28,25,24,4,8,2,22,5,15
1760,19,14,18,7,26,27,23,29,6,11,3,13
1761,10,3,12,20,21,14,11,16,32,18,22,4
1762,18,28,6,29,16,10,13,4,30,34,11,19
